SR,Name,IMAGE ,OLD SKU,NEW SKU,L,W,H,L,W,H,L,W,H,ASSEMBLY ,COLORE ,WARRANTY ,Wood Finish,SECOUNDERY MATRIAL ,Subcategory,Category,Price,AMAZON & FLIPKART PRICE 
1,"Darshan Solid Sheesham Wood Book Shelf (4 Shelves, Provincial Teak Finish by Rajwada , Set of 1)",,https://mysleepyhead.com/wordle-solid-sheesham-wood-book-shelf-4-shelves-teak-finish,RF331384,24,16,69,,,,,,,NA,PROVINCIAL TEAK,5 YEAR ,SHEESHAM WOOD ,-------,bookself ,STUDY & OFFICE ,"? 14,999","? 16,199"
2,"Darshan Solid Sheesham Wood Book Shelf (6 Shelves, Provincial Teak Finish by Rajwada , Set of 1)",,https://mysleepyhead.com/wordle-solid-sheesham-wood-book-shelf-6-shelves-teak-finish,RF331385,34,16,52,,,,,,,NA,PROVINCIAL TEAK,5 YEAR ,SHEESHAM WOOD ,-------,bookself ,STUDY & OFFICE ,"? 20,399","? 22,031"
3,"Darshan Solid Sheesham Wood Book Shelf (3 Shelves, Provincial Teak Finish by Rajwada , Set of 1)",,https://mysleepyhead.com/wordle-solid-sheesham-wood-book-shelf-3-shelves-teak-finish,RF331386,24,16,37,,,,,,,NA,PROVINCIAL TEAK,5 YEAR ,SHEESHAM WOOD ,-------,bookself ,STUDY & OFFICE ,"? 8,999","? 9,719"
4,"Anamika Sheesham Wood Book Case in Provincial Teak Finish by Rajwada 
",,FM2124756,RF331434,24,16,69,,,,,,,NA,PROVINCIAL TEAK,5 YEAR ,SHEESHAM WOOD ,-------,bookself ,STUDY & OFFICE ,"? 18,999","? 20,519"
5,"Anamika Sheesham Wood Book Case in Honey Oak Finish by Rajwada 
",,FM1757420,RF331451,24,16,69,,,,,,,NA,HONEY OAK ,5 YEAR ,SHEESHAM WOOD ,-------,bookself ,STUDY & OFFICE ,"? 18,999","? 20,519"
6,"Anamika Sheesham Wood Book Shelf In Honey Oak Finish by Rajwada 
",,FM1654987,RF331526,34,15,60,,,,,,,NA,HONEY OAK ,5 YEAR ,SHEESHAM WOOD ,-------,bookself ,STUDY & OFFICE ,"? 16,999","? 18,359"
7,"Anamika Sheesham Wood Book Shelf In Provincial Teak Finish by Rajwada 
",,FM1744122,RF331458,34,15,60,,,,,,,NA,PROVINCIAL TEAK,5 YEAR ,SHEESHAM WOOD ,-------,bookself ,STUDY & OFFICE ,"? 16,999","? 18,359"
8,"Anamika Sheesham Wood Book Case in Honey Oak Finish by Rajwada 
",,FM2124634,RF331474,33,13,69,,,,,,,NA,HONEY OAK ,5 YEAR ,SHEESHAM WOOD ,-------,bookself ,STUDY & OFFICE ,"? 23,999","? 25,919"
9,"Anamika Sheesham Wood Book Case in Provincial Teak Finish by Rajwada 
",,FM1748027,RF331494,33,13,69,,,,,,,NA,PROVINCIAL TEAK,5 YEAR ,SHEESHAM WOOD ,-------,bookself ,STUDY & OFFICE ,"? 23,999","? 25,919"
10,Zigi Solid Wood Sheesham Book Shelf  in Provincial Teak Finish by Rajwada,,FM1748067,RJ74303,27,12,68,,,,,,,NA,PROVINCIAL TEAK,5 YEAR ,SHEESHAM WOOD ,-------,bookself ,STUDY & OFFICE ,"? 15,099","? 16,307"
11,kanishka Solidwood Sheesham Hutch Cabinet  Finish by  Rajwada,,FM1625425,RJ202235,35,16,72,,,,,,,NA,PROVINCIAL TEAK,5 YEAR ,SHEESHAM WOOD ,-------,bookself ,KITCHEN & BAR,"? 25,699","? 27,755"
12,kanishka Solidwood Sheesham Book Case  in Provincal Teak  Finish by Rajwada,,FM1625437,RJ202239,35,16,69,,,,,,,NA,PROVINCIAL TEAK,5 YEAR ,SHEESHAM WOOD ,-------,bookself ,STUDY & OFFICE ,"? 25,199","? 27,215"
13,kanishka Solidwood Sheesham Book Case  in Warmchestnut Finish by Rajwada,,FM1625438,RJ202265,35,16,69,,,,,,,NA,WARM CHESNUT ,5 YEAR ,SHEESHAM WOOD ,-------,bookself ,STUDY & OFFICE ,"? 25,199","? 27,215"
14,kanishka Solidwood Sheesham Book Case  Finish in Honey Oak Finish by Rajwada,,FM1625439,RJ202291,35,16,69,,,,,,,NA,HONEY OAK ,5 YEAR ,SHEESHAM WOOD ,-------,bookself ,STUDY & OFFICE ,"? 25,199","? 27,215"
15,kanishka Solidwood Sheesham Book Shelf   in Provincal Teak  Finish by Rajwada,,FM1625440,RJ202240,52,14,35,,,,,,,NA,PROVINCIAL TEAK,5 YEAR ,SHEESHAM WOOD ,-------,bookself ,STUDY & OFFICE ,"? 15,999","? 17,279"
16,kanishka Solidwood Sheesham Book Shelf  in Warmchestnut Finish by Rajwada,,FM1625441,RJ202266,52,14,35,,,,,,,NA,WARM CHESNUT ,5 YEAR ,SHEESHAM WOOD ,-------,bookself ,STUDY & OFFICE ,"? 15,999","? 17,279"
17,kanishka Solidwood Sheesham Book Shelf  Finish in Honey Oak Finish by Rajwada,,FM1625442,RJ202292,52,14,35,,,,,,,NA,HONEY OAK ,5 YEAR ,SHEESHAM WOOD ,-------,bookself ,STUDY & OFFICE ,"? 15,999","? 17,279"
18,kanishka Solidwood Sheesham Tall Book Shelf   in Provincal Teak  Finish by Rajwada,,FM1625443,RJ202241,21,16,69,,,,,,,NA,PROVINCIAL TEAK,5 YEAR ,SHEESHAM WOOD ,-------,bookself ,STUDY & OFFICE ,"? 16,999","? 18,359"
19,kanishka Solidwood Sheesham Tall Book Shelf  in Warmchestnut Finish by Rajwada,,FM1625444,RJ202267,21,16,69,,,,,,,NA,WARM CHESNUT ,5 YEAR ,SHEESHAM WOOD ,-------,bookself ,STUDY & OFFICE ,"? 16,999","? 18,359"
20,kanishka Solidwood Sheesham Tall Book Shelf  Finish in Honey Oak Finish by Rajwada,,FM1625445,RJ202293,21,16,69,,,,,,,NA,HONEY OAK ,5 YEAR ,SHEESHAM WOOD ,-------,bookself ,STUDY & OFFICE ,"? 16,999","? 18,359"
