SR,NAME,IMAGE ,OLD SKU ,NEW SKU,L,W,H,L,W,H,L,W,H,ASSEMBLY ,COLORE ,WARRANTY ,PREMRI MATERIAL ,PREMRI MATERIAL ,PRODUCT TYPE ,CATEGORY,SHOPIFY  PRICE ,AMAZON & FLIPKART PRICE 
1,Harmonia  Solid Wood Sideboard In Honey Oak Finish by Rajwada  By Rajwada,,FM1890067,RF331136,35,16,30,,,,,,,NA,HONEY OAK ,5 YEAR ,SHEESHAM WOOD ,-------,cabinate,LIVING ROOM,"? 12,999","? 14,039"
2,Harmonia  Solid Wood Sideboard In Rustic Teak Finish by Rajwada  By Rajwada,,FM1844964,RF331137,35,16,33.5,,,,,,,NA,RUSTIC TEAK,5 YEAR ,SHEESHAM WOOD ,-------,cabinate,LIVING ROOM,"? 12,999","? 14,039"
3,penza Solid Wood Sideboard In Provincial Teak Finish by Rajwada  By Rajwada,,FM1901815,RF331211,58,16,30,,,,,,,NA,PROVINCIAL TEAK,5 YEAR ,SHEESHAM WOOD ,-------,cabinate,LIVING ROOM,"? 22,999","? 24,839"
4,penza Solid Wood Sideboard In Honey Oak Finish by Rajwada  By Rajwada,,FM1901800,RF331212,58,16,30,,,,,,,NA,HONEY OAK ,5 YEAR ,SHEESHAM WOOD ,-------,cabinate,LIVING ROOM,"? 22,999","? 24,839"
5,"Anamika Sheesham Wood Sideboard In Provincial Teak Finish by Rajwada 
",,FM1744125,RF331435,57.5,17,30,,,,,,,NA,PROVINCIAL TEAK,5 YEAR ,SHEESHAM WOOD ,-------,cabinate,LIVING ROOM,"? 23,699","? 25,595"
6,"Anamika Sheesham Wood Sideboard In Honey Oak
",,FM1654998,RF331439,57.5,17,30,,,,,,,NA,HONEY OAK ,5 YEAR ,SHEESHAM WOOD ,-------,cabinate,LIVING ROOM,"? 23,699","? 25,595"
7,"Anamika Sheesham Wood Sideboard In Rustic Teak Finish by Rajwada 
",,FM1744802,RF331496,57.5,17,30,,,,,,,NA,RUSTIC TEAK,5 YEAR ,SHEESHAM WOOD ,-------,cabinate,LIVING ROOM,"? 23,699","? 25,595"
8,"Anamika Sheesham Wood Sideboard In Honey Oak
Finish By Rajwada",,FM2132136,RF331445,42,17,30,,,,,,,NA,HONEY OAK ,5 YEAR ,SHEESHAM WOOD ,-------,cabinate,LIVING ROOM,"? 17,399","? 18,791"
9,"Anamika Sheesham Wood Sideboard In Rustic Teak
",,FM1744803,RF331495,42,17,30,,,,,,,NA,RUSTIC TEAK,5 YEAR ,SHEESHAM WOOD ,-------,cabinate,LIVING ROOM,"? 17,399","? 18,791"
10,"Anamika Sheesham Wood Cabinet In Rustic Teak Finish by Rajwada 
",,FM1744801,RF331497,32,14,34,,,,,,,NA,RUSTIC TEAK,5 YEAR ,SHEESHAM WOOD ,-------,cabinate,LIVING ROOM,"? 15,299","? 16,523"
11,"Anamika Sheesham Wood Sideboard In Provincial Teak
By Rajwada",,FM1744126,RF331514,42,17,30,,,,,,,NA,PROVINCIAL TEAK,5 YEAR ,SHEESHAM WOOD ,-------,cabinate,LIVING ROOM,"? 17,399","? 18,791"
