SR,Name,IMAGE ,OLD SKU ,NEW SKU,L,W,H,L,W,H,L,W,H,ASSEMBLY ,COLORE ,WARRANTY ,Wood Finish ,PREMRI MATERIAL ,Subcategory,Category,Price,AMAZON & FLIPKART PRICE 
1,Harmonia  Solid Wood Queen Size Bed In Honey Oak Finish by Rajwada  By Rajwada,,FM1890080,RF331142,74,81.5,35,,,,,,,YES (DO IT YOURSELF),HONEY OAK ,5 YEAR ,SHEESHAM WOOD ,MDF,queen size bed without storage ,BEDROOM ,"? 23,999","? 25,919"
2,Harmonia  Solid Wood Queen Size Bed In Rustic Teak Finish by Rajwada  By Rajwada,,FM1884076,RF331143,74,81.5,35,,,,,,,YES (DO IT YOURSELF),RUSTIC TEAK,5 YEAR ,SHEESHAM WOOD ,MDF,queen size bed without storage ,BEDROOM ,"? 23,999","? 25,919"
3,Elista Solid Wood Queen Size Bed In Rustic Teak Finish by Rajwada   By Rajwada,,FM1812611,RF331224,62,84,35,,,,,,,YES (DO IT YOURSELF),RUSTIC TEAK,5 YEAR ,SHEESHAM WOOD ,MDF,queen size bed without storage ,BEDROOM ,"? 23,199","? 25,055"
4,Moscow  Solid Wood Queen Size Bed in Provincial Teak Finish by Rajwada  by Rajwada,,FM2030048,RF331252,62,83,39,,,,,,,YES (DO IT YOURSELF),PROVINCIAL TEAK,5 YEAR ,SHEESHAM WOOD ,MDF,queen size bed without storage ,BEDROOM ,"? 26,599","? 28,727"
5,Moscow  Solid Wood Queen Size Bed in Provincial Teak Finish by Rajwada  by Rajwada,,FM2030047,RF331253,62,83,39,,,,,,,YES (DO IT YOURSELF),PROVINCIAL TEAK,5 YEAR ,SHEESHAM WOOD ,MDF,queen size bed without storage ,BEDROOM ,"? 26,599","? 28,727"
6,Moscow  Solid Wood Queen Size Bed In Honey Oak Finish by Rajwada  By Rajwada,,FM1744254,RF331300,63,83,40,,,,,,,YES (DO IT YOURSELF),HONEY OAK ,5 YEAR ,SHEESHAM WOOD ,MDF,queen size bed without storage ,BEDROOM ,"? 23,399","? 25,271"
7,Moscow  Solid Wood Queen Size Bed In Provincial Teak Finish by Rajwada  By Rajwada,,FM1629962,RF331301,62,84,39,,,,,,,YES (DO IT YOURSELF),PROVINCIAL TEAK,5 YEAR ,SHEESHAM WOOD ,MDF,queen size bed without storage ,BEDROOM ,"? 23,399","? 25,271"
8,vandena  Solid Wood Queen Size Bed In Honey Oak Finish by Rajwada  By Rajwada,,FM1916622,RF331323,66.5,83,39,,,,,,,YES (DO IT YOURSELF),HONEY OAK ,5 YEAR ,SHEESHAM WOOD ,MDF,queen size bed without storage ,BEDROOM ,"? 23,399","? 25,271"
9,vandena  Solid Wood Queen Size Bed In Provincial Teak Finish by Rajwada  By Rajwada,,FM1895573,RF331326,66,83,39,,,,,,,YES (DO IT YOURSELF),PROVINCIAL TEAK,5 YEAR ,SHEESHAM WOOD ,MDF,queen size bed without storage ,BEDROOM ,"? 25,199","? 27,215"
10,Sashwat Sheesham Wood Queen Size Bed In Provincial Teak Finish by Rajwada ,,https://mysleepyhead.com/bed-v-sheesham-wood-queen-size-bed-provincial-teak-color,RF331373,66.5,83,39,,,,,,,YES (DO IT YOURSELF),PROVINCIAL TEAK,5 YEAR ,SHEESHAM WOOD ,MDF,queen size bed without storage ,BEDROOM ,"? 16,799","? 18,143"
